N,D,C_flop,loss,tokens_per_param,source
1017959646.461467,16366454371.281178,9.996234063370273e+19,2.554520985765487,16.07770448285712,Hoffmann2022_reconstructed_Besiroglu2024
1017959887.0686458,32734442487.91936,1.9993409626954485e+20,2.4569279142530447,32.15690805084928,Hoffmann2022_reconstructed_Besiroglu2024
1143251954.0462997,1393566500.5834165,9.559185749312727e+18,3.094521210858053,1.2189495899405036,Hoffmann2022_reconstructed_Besiroglu2024
1143252494.4894495,13470078830.314104,9.239820734235676e+19,2.554520985765487,11.782243113608542,Hoffmann2022_reconstructed_Besiroglu2024
1143252764.7111204,4185153483.960817,2.8708129747671486e+19,2.757359717151634,3.6607420625991933,Hoffmann2022_reconstructed_Besiroglu2024
1143252764.7111204,8344616805.091924,5.724003739725731e+19,2.616495387341047,7.299013011528085,Hoffmann2022_reconstructed_Besiroglu2024
1143252764.7111204,7591466910.118966,5.207379319923896e+19,2.640121479394902,6.640234902066644,Hoffmann2022_reconstructed_Besiroglu2024
1143252764.7111204,16365931507.053875,1.1226237865507304e+20,2.5165346421087142,14.315234576484277,Hoffmann2022_reconstructed_Besiroglu2024
1143253305.1546533,32767195356.60881,2.2476722635254736e+20,2.445912595343321,28.661360705339256,Hoffmann2022_reconstructed_Besiroglu2024
1143254386.0424843,59529286765.67906,4.083427091570604e+20,2.387978623765955,52.07002701450113,Hoffmann2022_reconstructed_Besiroglu2024
1143254386.0424843,40631646687.55674,2.7871384972606692e+20,2.434941196776266,35.540337464357506,Hoffmann2022_reconstructed_Besiroglu2024
1143254386.0424843,79786888366.37485,5.4730026044124063e+20,2.370154554190775,69.78926942285084,Hoffmann2022_reconstructed_Besiroglu2024
1265593128.5465355,12877366574.886919,9.778503990571033e+19,2.554520985765487,10.1749656223844,Hoffmann2022_reconstructed_Besiroglu2024
1265593128.5465355,1236540778.4255252,9.389745074057572e+18,3.131833845205492,0.9770444786197794,Hoffmann2022_reconstructed_Besiroglu2024
1265593427.6849065,9826782317.378239,7.462026669698492e+19,2.6480441566036577,7.764564908774797,Hoffmann2022_reconstructed_Besiroglu2024
1265593427.6849065,3849866135.507468,2.9234191671389647e+19,2.7697776574701383,3.0419454236182757,Hoffmann2022_reconstructed_Besiroglu2024
1265593427.6849065,7712048207.485184,5.856190515229448e+19,2.6480441566036577,6.093622200292624,Hoffmann2022_reconstructed_Besiroglu2024
1265594025.961862,37858824714.38525,2.874834143307796e+20,2.434941196776266,29.913877545062068,Hoffmann2022_reconstructed_Besiroglu2024
1265594923.3778238,19551228290.508305,1.484636116216092e+20,2.5165346421087142,15.448251197410649,Hoffmann2022_reconstructed_Besiroglu2024
1265594923.3778238,19488859002.88003,1.47990006098827e+20,2.5240864505424114,15.398970589155827,Hoffmann2022_reconstructed_Besiroglu2024
1265595820.7944248,72855838631.4368,5.532362693545165e+20,2.370154554190775,57.56643427101758,Hoffmann2022_reconstructed_Besiroglu2024
1265595820.7944248,128261266129.41559,9.739615342991392e+20,2.331416878272676,101.34457148325991,Hoffmann2022_reconstructed_Besiroglu2024
1424350704.2452376,44554493826.79292,3.807673479568956e+20,2.405931333857799,31.28056432590618,Hoffmann2022_reconstructed_Besiroglu2024
1424351714.2334597,20265308822.617153,1.731895641657912e+20,2.494014512040758,14.227742080911028,Hoffmann2022_reconstructed_Besiroglu2024
1424351714.2334597,22204668486.749516,1.8976354573852413e+20,2.494014512040758,15.589315661897002,Hoffmann2022_reconstructed_Besiroglu2024
1429232579.4437304,1133517623.6513124,9.720361902576556e+18,3.1838780021322792,0.7930952876070647,Hoffmann2022_reconstructed_Besiroglu2024
1429233255.0769129,3385868962.8797274,2.9035179114482905e+19,2.803174649739657,2.369010762135898,Hoffmann2022_reconstructed_Besiroglu2024
1429233255.0769129,6778288218.783703,5.812652960869033e+19,2.6599757580335908,4.7426046061452265,Hoffmann2022_reconstructed_Besiroglu2024
1429233592.893623,39266523572.78572,3.3672620739824805e+20,2.416772019301729,27.473831967024232,Hoffmann2022_reconstructed_Besiroglu2024
1429234944.1612675,19631442919.256336,1.6834766534705064e+20,2.494014512040758,13.735630380054033,Hoffmann2022_reconstructed_Besiroglu2024
1429234944.1612675,19642470106.591496,1.68442227995902e+20,2.5052520841348382,13.743345827664804,Hoffmann2022_reconstructed_Besiroglu2024
1429235619.7955678,33288022481.247932,2.854585646565311e+20,2.405931333857799,23.290787061414914,Hoffmann2022_reconstructed_Besiroglu2024
1429235619.7955678,67224540009.05107,5.764782426318483e+20,2.3595282724312296,47.035309698387316,Hoffmann2022_reconstructed_Besiroglu2024
1429235619.7955678,112381703436.10725,9.637196013851186e+20,2.331416878272676,78.63063436117125,Hoffmann2022_reconstructed_Besiroglu2024
1592872901.2321882,9701474632.412956,9.271929626377262e+19,2.6086671008223323,6.090551622108864,Hoffmann2022_reconstructed_Besiroglu2024
1592874407.2124715,19437460006.643578,1.857685955147911e+20,2.494014512040758,12.20275742935635,Hoffmann2022_reconstructed_Besiroglu2024
1592874407.2124715,17792253125.25258,1.7004494789916567e+20,2.494014512040758,11.169903317355072,Hoffmann2022_reconstructed_Besiroglu2024
1592875536.6986184,77518797238.08199,7.408667745290474e+20,2.331416878272676,48.66594749690666,Hoffmann2022_reconstructed_Besiroglu2024
1609079314.2122664,1009522836.8259768,9.746413883769387e+18,3.2856379825927915,0.627391594627636,Hoffmann2022_reconstructed_Besiroglu2024
1609079694.5377884,2950707594.320745,2.848754204723974e+19,2.8242551231206,1.833785861780042,Hoffmann2022_reconstructed_Besiroglu2024
1609079694.5377884,11076167303.840559,1.0693461541147923e+20,2.5969714788717795,6.883541779465567,Hoffmann2022_reconstructed_Besiroglu2024
1609079694.5377884,6071545031.723877,5.861759895011209e+19,2.6599757580335908,3.7733028714080823,Hoffmann2022_reconstructed_Besiroglu2024
1609080455.189099,44543462406.22876,4.300440885858786e+20,2.387978623765955,27.682557613934858,Hoffmann2022_reconstructed_Besiroglu2024
1609081596.1667397,22053148419.173973,2.1291189155295884e+20,2.4569279142530447,13.705425797989635,Hoffmann2022_reconstructed_Besiroglu2024
1609081596.1667397,22260741345.10636,2.149160952926321e+20,2.464300850287136,13.83443909751834,Hoffmann2022_reconstructed_Besiroglu2024
1609082737.1451895,101243742748.79565,9.774573522063334e+20,2.314014990235024,62.92015967334333,Hoffmann2022_reconstructed_Besiroglu2024
1609082737.1451895,88594311452.88171,8.55333463008578e+20,2.3209590623040324,55.05889126003826,Hoffmann2022_reconstructed_Besiroglu2024
1730543416.124146,875041997.0045102,9.08578900048968e+18,3.395737776160633,0.505645792443809,Hoffmann2022_reconstructed_Besiroglu2024
1730543416.124146,9450338955.785326,9.8125331160455e+19,2.566031188935832,5.460908329564484,Hoffmann2022_reconstructed_Besiroglu2024
1730544643.2295663,31200914888.122765,3.239674567410148e+20,2.4276561018218445,18.02953481159272,Hoffmann2022_reconstructed_Besiroglu2024
1730545870.3358526,16380868335.54903,1.7008706430359824e+20,2.5052520841348382,9.465723282082052,Hoffmann2022_reconstructed_Besiroglu2024
1730547097.4430106,94821929363.87886,9.845628878076404e+20,2.303640402958185,54.79303597341215,Hoffmann2022_reconstructed_Besiroglu2024
1730547097.4430106,124877523735.14095,1.296638617414313e+21,2.286445840825226,72.1607195317915,Hoffmann2022_reconstructed_Besiroglu2024
1730547097.4430106,63297555099.86239,6.572364015198353e+20,2.3489443598431987,36.57661510246581,Hoffmann2022_reconstructed_Besiroglu2024
1793808923.9024398,818680776.817937,8.811341299700383e+18,3.4059279641864757,0.45639240941944537,Hoffmann2022_reconstructed_Besiroglu2024
1793808923.9024398,9036677011.197498,9.72604311906606e+19,2.577587469373751,5.037703230697596,Hoffmann2022_reconstructed_Besiroglu2024
